EPS8L2	Epi : 0.02584611394363321
VAMP8	Epi : 0.025891134636339973
SRPX	Mes : 0.026002370306045658
RHOD	Epi : 0.026563048998661378
MAPK13	Epi : 0.02811259774881008
MAP1B	Mes : 0.028986032595264787
CNKSR1	Epi : 0.0300136403471164
TUBA1A	Mes : 0.03012231965287181
PYCARD	Epi : 0.03031215655759109
ABCC3	Epi : 0.030488755931442214
DSC2	Epi : 0.03260675146151935
DDR1	Epi : 0.03287862171576604
CALD1	Mes : 0.034496985488189545
FBP1	Epi : 0.03510107129395124
ERBB3	Epi : 0.03657791023421831
ESRP1	Epi : 0.03779684179936827
EPCAM	Epi : 0.03938693183362365
CEACAM6	Epi : 0.040918276731562134
HNMT	Epi : 0.041443253843972565
ARAP2	Epi : 0.04322735558336826
MALL	Epi : 0.04453525686344045
ANK2	Mes : 0.0476292057317562
ITGB6	Epi : 0.05130865514906572
ERBB2	Epi : 0.05509013519903173
ANXA9	Epi : 0.05621352195528716
OR7E14P	Epi : 0.05657868711146244
GJA1	Mes : 0.059528502612470516
SORL1	Epi : 0.06199362579601776
JUP	Epi : 0.06280052733444574
SERPINE1	Mes : 0.06698363971097805
MST1R	Epi : 0.07338987694532104
MYO1D	Epi : 0.07462111838447652
LHFP	Mes : 0.07971451037932809
GPX2	Epi : 0.08278018410520283
IRF6	Epi : 0.08318420493016038
EVPL	Epi : 0.08319550498759412
BLNK	Epi : 0.08939785267624914
C4orf19	Epi : 0.08948580012769099
ALOX5	Epi : 0.08972813753112967
S100P	Epi : 0.09509681906427618
CBLC	Epi : 0.09547631950382267
TSPAN15	Epi : 0.11246790042884708
KRT15	Epi : 0.1194499566080851
LSR	Epi : 0.12154782729789397
OAS1	Epi : 0.12428460631868456
TMPRSS4	Epi : 0.13262537262079105
GPR56	Epi : 0.13462424454857352
CKMT1A	Epi : 0.1351602011012574
CEACAM1	Epi : 0.1403492610966463
ITGB4	Epi : 0.17774478746449573
PPFIBP2	Epi : 0.18869380185547785
SLPI	Epi : 0.28687531391201876
LCN2	Epi : 0.3654064030574871
