CBLC	Epi : 0.03626705372691716
TUBA1A	Mes : 0.03659581687584013
MYO1D	Epi : 0.03759274987356043
MSN	Mes : 0.037844000240641155
ITGB6	Epi : 0.037968365192549855
IRF6	Epi : 0.03811772816337269
EMP3	Mes : 0.03874063447408652
CAMK2N1	Epi : 0.04177051478304809
PKP3	Epi : 0.042385175064464924
SH2D3A	Epi : 0.043207642709196234
MYL9	Mes : 0.04349468310149016
ABCC3	Epi : 0.04583946097845423
JUP	Epi : 0.05038980210266035
FERMT2	Mes : 0.05332981982463885
ZNF165	Epi : 0.053347252009543586
VAMP8	Epi : 0.05482585903387391
EVPL	Epi : 0.056905436600869094
C4orf19	Epi : 0.05702062446954736
TGFB1I1	Mes : 0.06061242061506731
CLDN4	Epi : 0.0675439499921055
ERBB2	Epi : 0.07203829619017584
BIK	Epi : 0.07384363417662757
GJA1	Mes : 0.07546168461352976
CNKSR1	Epi : 0.076251796985012
ARHGDIB	Epi : 0.07664768324052625
TUBB6	Mes : 0.0769694266216954
OAS1	Epi : 0.07848106174802257
CDH1	Epi : 0.08097748604127376
MST1R	Epi : 0.08191593257414445
CEACAM1	Epi : 0.0841141137911691
GPX2	Epi : 0.08479481088369092
RHOD	Epi : 0.08647900384460011
SCNN1A	Epi : 0.08872729046535784
EPCAM	Epi : 0.09023145495538927
AP1M2	Epi : 0.09394951519766458
ALDH3B2	Epi : 0.09403836147644618
OR7E14P	Epi : 0.09712871712807312
CEACAM6	Epi : 0.09724030872993311
ALOX5	Epi : 0.09737144245138189
S100P	Epi : 0.09909768961472822
SORL1	Epi : 0.10071090790101087
TSPAN15	Epi : 0.10202165429799259
PTK6	Epi : 0.10332500247155443
CKMT1A	Epi : 0.12355229520759682
SERPINE1	Mes : 0.13432238956535889
LSR	Epi : 0.13699534895224724
ITGB4	Epi : 0.13850086932772257
TMPRSS4	Epi : 0.13907466372747132
KRT15	Epi : 0.14371157375658675
PPFIBP2	Epi : 0.14486603538594717
GPR56	Epi : 0.1474549361635376
SLPI	Epi : 0.1995033058840884
LCN2	Epi : 0.3695832163186578
