EHF	Epi : -0.19835135129050324
GRHL2	Epi : -0.16468762323942435
OCLN	Epi : -0.13020845380820972
CYP4F3	Epi : -0.12764217070533024
TOX3	Epi : -0.1234885903173551
ALDH3B2	Epi : -0.12256258043472806
KRT19	Epi : -0.117589395202565
ZNF165	Epi : -0.11620112646708178
CDH3	Epi : -0.11415186141860503
POPDC3	Mes : -0.11137794506100127
HPGD	Epi : -0.10259482031582125
TOB1	Epi : -0.10102851266430778
RAB25	Epi : -0.09860412183137429
PPL	Epi : -0.09009011762957402
KDELC1	Mes : -0.0868989994818975
FHL1	Mes : -0.08366607956194498
C1orf116	Epi : -0.08163083731174847
AGR2	Epi : -0.0761505376142239
ELMO3	Epi : -0.0756668561215718
TTC39A	Epi : -0.07563910909918732
TRPC1	Mes : -0.07499078898053356
EPN3	Epi : -0.07496008730601829
CD46	Epi : -0.0735666824546853
DTX4	Epi : -0.07353352233743053
GALNT3	Epi : -0.07304271177641723
LY75	Epi : -0.07301303753180616
ETV1	Mes : -0.07209590804004687
SOAT1	Mes : -0.07196968733520016
GRB7	Epi : -0.07184812007214994
SCEL	Epi : -0.07157588912877991
AREG	Epi : -0.07099510365323841
EPHA1	Epi : -0.06828305016976376
ERMP1	Epi : -0.06636028631923759
POF1B	Epi : -0.06546479445490416
SRPX	Mes : -0.06384940295398675
LOXL2	Mes : -0.06366571988658831
SH3YL1	Epi : -0.06261345833630155
FBP1	Epi : -0.06258202751750426
LGALS1	Mes : -0.0620207835691047
ARHGEF5	Epi : -0.060285078435636116
DSP	Epi : -0.058123186784765614
RABGAP1L	Epi : -0.05638961111039198
SLC9A3R1	Epi : -0.05450954193917309
PLXNB2	Epi : -0.053666386330291506
KLF5	Epi : -0.053437731633129294
RECK	Mes : -0.052850841000953185
XBP1	Epi : -0.05163154682247659
ANK3	Epi : -0.05132613619292512
BAG2	Mes : -0.05129519253314189
HNMT	Epi : -0.04917702229193412
TMEM158	Mes : -0.048978991642719676
IL20RA	Epi : -0.045826417645560016
COL5A2	Mes : -0.043979187025891014
FSTL1	Mes : -0.04361398730773532
ANK2	Mes : -0.04118141495394985
CLDN7	Epi : -0.037589344135417285
RBM47	Epi : -0.037251470072411835
CNKSR1	Epi : -0.03672515051297763
SDC1	Epi : -0.0359568966577969
GLYR1	Mes : -0.03540579259651435
TJP2	Epi : -0.0352262777406203
SERINC5	Epi : -0.034826728428354777
AP1S2	Mes : -0.03463370839282643
TSPAN13	Epi : -0.033975717988443614
LHFP	Mes : -0.03361570359303715
ANXA9	Epi : -0.03219500913489432
TMEM30B	Epi : -0.03175390255722077
HES1	Epi : -0.03145584658622887
EPS8L1	Epi : -0.030806426044378287
PLS1	Epi : -0.03069213547747059
ZEB1	Mes : -0.029384176207241892
SSH3	Epi : -0.02712497758809627
ANXA4	Epi : -0.026730270249353583
CAPN1	Epi : -0.026327225125249383
