KDELC1	Mes : 0.038933914037887166
DENND5A	Mes : 0.03895947454189644
PYCARD	Epi : 0.040260041414346616
DSP	Epi : 0.04118712903051587
PTK6	Epi : 0.0418414716028627
SH2B3	Mes : 0.042859254791233745
C4orf19	Epi : 0.043643272071591674
SH2D3A	Epi : 0.04492830711274037
KRT7	Epi : 0.047176222881647224
RECK	Mes : 0.04962495817775921
EPN3	Epi : 0.05020795123366273
PRSS8	Epi : 0.05061285338414304
GPR56	Epi : 0.05078102153311646
CDS1	Epi : 0.050805214511488644
CD9	Epi : 0.05375788926867279
LGALS1	Mes : 0.0549729341263665
MYL9	Mes : 0.058007769832378424
DDR1	Epi : 0.05845809293950183
COL5A2	Mes : 0.05854927968667541
CHN1	Mes : 0.05897848518994892
OR7E14P	Epi : 0.06043329276004738
EMP3	Mes : 0.060599044224898375
CLDN4	Epi : 0.06393268314992867
SHANK2	Epi : 0.06411734967775479
AXL	Mes : 0.06457165282323513
KLK6	Epi : 0.06528875138933903
SORL1	Epi : 0.06625067684056328
MAP1B	Mes : 0.06860328524438863
VIM	Mes : 0.07066171810740753
ZEB1	Mes : 0.07149778860084899
SACS	Mes : 0.07633387107089369
TRPC1	Mes : 0.07839299968126749
AP1S2	Mes : 0.08133066764905153
CALD1	Mes : 0.08400603122256912
TMEM158	Mes : 0.08438282009525351
TGFA	Epi : 0.08489019486201145
PTRF	Mes : 0.08561170208738861
RHOD	Epi : 0.08945476697471065
TMEFF1	Mes : 0.09420180772074076
SRPX	Mes : 0.10303338867822211
FSTL1	Mes : 0.1032183470885844
TUBA1A	Mes : 0.10412134583705267
TUBB6	Mes : 0.10490554541239581
ARHGDIB	Epi : 0.10576116608776799
FERMT2	Mes : 0.1067625731478001
GFPT2	Mes : 0.11435762656144527
DSC2	Epi : 0.12234845781375825
ITGB6	Epi : 0.1271902185326358
LOXL2	Mes : 0.12955612540843778
CEP170	Mes : 0.13335825485920474
GJA1	Mes : 0.14353140200792777
TGFB1I1	Mes : 0.1577597079582971
SERPINE1	Mes : 0.18580732785615986
