SH2D3A	Epi : 0.03520120128273098
LHFP	Mes : 0.03855071974239788
KRT19	Epi : 0.03905557450819348
DSP	Epi : 0.03906496513918482
RECK	Mes : 0.039747083790515426
CHN1	Mes : 0.04087142947521117
EPN3	Epi : 0.040871650615096046
FOXA1	Epi : 0.040917100729943846
HNMT	Epi : 0.04109697934737052
ALDH3B2	Epi : 0.04188964696035759
KRT7	Epi : 0.04312368185115116
GPR56	Epi : 0.0433759592266358
MAP7	Epi : 0.046569759478686884
SH3YL1	Epi : 0.0470428500237318
AXL	Mes : 0.0528787894128533
TMEM158	Mes : 0.05375650456741615
SORL1	Epi : 0.054646442149836105
ARHGDIB	Epi : 0.0552727175475247
TRPC1	Mes : 0.05878086819437804
MAP1B	Mes : 0.06147290895160984
ITGB4	Epi : 0.06392452602156891
PRSS8	Epi : 0.063967326991902
KLK6	Epi : 0.06638039051028706
OAS1	Epi : 0.06740380527361618
COL5A2	Mes : 0.06772324483137901
LOXL2	Mes : 0.06787017711273838
EMP3	Mes : 0.06867804787736682
DDR1	Epi : 0.07020304840407038
LGALS1	Mes : 0.07034443425113725
CDS1	Epi : 0.07202969014777
ZEB1	Mes : 0.07550728326932139
TGFA	Epi : 0.07587059590000489
C4orf19	Epi : 0.07612854149142684
RHOD	Epi : 0.07615788297905386
CLDN4	Epi : 0.07879953837402055
SACS	Mes : 0.07924913840169924
VIM	Mes : 0.08039052700883736
SCEL	Epi : 0.08146168834757089
PTRF	Mes : 0.08316138444188503
FSTL1	Mes : 0.08803128427188493
CALD1	Mes : 0.09048765036153628
FERMT2	Mes : 0.09076866523648841
TMEFF1	Mes : 0.09138620464337509
TUBA1A	Mes : 0.09267468898072577
GFPT2	Mes : 0.09400759667165953
AP1S2	Mes : 0.09804857491083721
SRPX	Mes : 0.10231016800600198
TUBB6	Mes : 0.10353091576147481
CEP170	Mes : 0.13324344262085927
TGFB1I1	Mes : 0.13753476631135048
GJA1	Mes : 0.14194972968096078
DSC2	Epi : 0.16276768577061532
ITGB6	Epi : 0.1710551230781587
SERPINE1	Mes : 0.1973322924960095
