TRIM31	Epi : -0.2301778402306009
PPFIBP2	Epi : -0.2060910895307457
AGR2	Epi : -0.20073723687743328
EHF	Epi : -0.1859636956473133
PPL	Epi : -0.1828775370838274
ELF3	Epi : -0.18275695185996896
CYP4F3	Epi : -0.18256370500964228
AQP3	Epi : -0.16233026556260075
LCN2	Epi : -0.14723195786477167
CDH1	Epi : -0.14565384716253368
SLPI	Epi : -0.13133579342637258
GPX2	Epi : -0.11288126895584652
LY75	Epi : -0.10496632384501875
FA2H	Epi : -0.10189480219322344
CEACAM6	Epi : -0.09981588768187885
EPCAM	Epi : -0.09894548042145214
KRT15	Epi : -0.09287513033339871
CLDN7	Epi : -0.0893795256587587
MTUS1	Epi : -0.08897902978741497
TSPAN1	Epi : -0.08488081768849888
C1orf116	Epi : -0.08356949767076974
CKMT1A	Epi : -0.08036636515314798
B3GNT3	Epi : -0.0765565093937714
OCLN	Epi : -0.07278293838775178
ERBB3	Epi : -0.07268780047695167
PLS1	Epi : -0.07138960014162866
MYO5C	Epi : -0.06885732660154797
TOB1	Epi : -0.06804749699743026
TOX3	Epi : -0.06754007109666582
SLC9A3R1	Epi : -0.06653630096961444
MANSC1	Epi : -0.06451199266455021
SOAT1	Mes : -0.06352357541474157
LSR	Epi : -0.0577384833931296
ANK3	Epi : -0.05641121066583595
RBM47	Epi : -0.05606414359057792
BIK	Epi : -0.05462009739014881
RAB20	Epi : -0.052180507000897124
SCNN1A	Epi : -0.051534946989373505
HPGD	Epi : -0.05048599298610665
ERMP1	Epi : -0.04889805763714864
S100A14	Epi : -0.04861299130602254
EPN3	Epi : -0.04762149109326228
CEACAM1	Epi : -0.0451225110810533
ANXA9	Epi : -0.04417032456466679
BLNK	Epi : -0.04250937347419106
CAMK2N1	Epi : -0.041937825092062224
SERINC5	Epi : -0.0390681984538052
GRB7	Epi : -0.038764463457026756
KLF5	Epi : -0.03760710661560695
POF1B	Epi : -0.03741699242951328
S100P	Epi : -0.035219383461129954
TTC39A	Epi : -0.03208235763402031
ALDH3B2	Epi : -0.031979448116013554
EVPL	Epi : -0.030955763796920038
GALNT3	Epi : -0.030855329730664873
AREG	Epi : -0.03057256337614382
ZNF165	Epi : -0.03005337911783823
KCNK1	Epi : -0.029812194469366105
TMC6	Epi : -0.029566055235533257
TMPRSS4	Epi : -0.029310444245465358
FXYD3	Epi : -0.02919880143473322
OVOL2	Epi : -0.02859202368237118
LLGL2	Epi : -0.027799626468688443
ANXA4	Epi : -0.027063758696624477
TNFSF13	Epi : -0.02640579562470856
AIM1	Epi : -0.025693866954692914
XBP1	Epi : -0.025255210575453817
ADAP1	Epi : -0.025063773396351935
DTX4	Epi : -0.024618024660083074
TSPAN13	Epi : -0.02303799635868542
KRT19	Epi : -0.02271456613742787
AP1M2	Epi : -0.021486114773543355
TJP2	Epi : -0.019221296338914364
PMP22	Mes : -0.018965263239996723
MPZL2	Epi : -0.018486173765207052
BAG2	Mes : -0.017704621788725013
PKP3	Epi : -0.01743469220315143
GLYR1	Mes : -0.01683846561271525
ERBB2	Epi : -0.016700346606109945
CYB561	Epi : -0.01666609630410707
ARHGEF5	Epi : -0.015087725160587628
EXPH5	Epi : -0.014416170876779223
SYNGR2	Epi : -0.01264534485331057
SPARC	Mes : -0.011533047924258053
MST1R	Epi : -0.01075616501229439
SLC37A1	Epi : -0.007974104339674217
OAS1	Epi : -0.007258613196465005
ABCC3	Epi : -0.0050329953872002686
ARHGAP8	Epi : -0.004215850186897325
EPHA1	Epi : -0.0029172353120567925
SSH3	Epi : -0.00272755390150572
CTSH	Epi : -0.0014432885155630949
PERP	Epi : -0.0011025655230540749
MYL9	Mes : 0.0006036706899794701
TPM2	Mes : 0.0006571666547143026
MYO6	Epi : 0.0008127889418812678
CD46	Epi : 0.0013405121540334326
MGST2	Epi : 0.0014485369278225363
ESRP2	Epi : 0.002120378607735178
LAD1	Epi : 0.002157739668319205
PYCARD	Epi : 0.0025036996838691786
CD9	Epi : 0.0032397613980191128
BSPRY	Epi : 0.0036300832829155878
COMT	Epi : 0.004650297499524219
EPS8L1	Epi : 0.007558135258881139
TACSTD2	Epi : 0.007753711449415958
MYO1D	Epi : 0.008103872407429085
RAB11FIP1	Epi : 0.00837099885375375
ETV1	Mes : 0.009090869385460285
SFN	Epi : 0.00967724922007992
VAMP8	Epi : 0.010368178660201864
EPS8L2	Epi : 0.01041153940608091
FHL1	Mes : 0.010519197225632533
SPINT1	Epi : 0.01130547725069475
CNKSR1	Epi : 0.011590800034542692
SPINT2	Epi : 0.012020773617485683
IL1RN	Epi : 0.01314800544423784
RABGAP1L	Epi : 0.01373675277931368
TSPAN15	Epi : 0.014510346063722226
PLXNB2	Epi : 0.015016981761017983
KRT8	Epi : 0.015543480011500911
ESRP1	Epi : 0.016023431875169407
MXRA7	Mes : 0.017000950862231305
ATP1B1	Epi : 0.01700972132718394
POPDC3	Mes : 0.017653704357529203
KRT18	Epi : 0.017823398855192914
CBLC	Epi : 0.017926279208433985
HNMT	Epi : 0.018484021189301356
UGT1A1	Epi : 0.018873558325826153
GRHL2	Epi : 0.019162655284544906
RAB25	Epi : 0.02076956810030301
VGLL1	Epi : 0.02167863461885837
ELMO3	Epi : 0.022376330646377365
TMEM30B	Epi : 0.02245859667461872
AXL	Mes : 0.022500144566010447
ANK2	Mes : 0.022737543290825394
IL20RA	Epi : 0.022828708095710804
ATP2C2	Epi : 0.022954090820754485
ST14	Epi : 0.023422034024913666
CAPN1	Epi : 0.023498843576685313
LEPRE1	Mes : 0.02382060086884997
MAPK13	Epi : 0.024407446596814104
ALOX5	Epi : 0.02505665830364761
SH3YL1	Epi : 0.02542366666667115
MALL	Epi : 0.025747805757447548
ARAP2	Epi : 0.026642680431899005
SCEL	Epi : 0.026655104253912938
FOXA1	Epi : 0.02674518693195145
DENND2D	Epi : 0.02694763591322783
